"sa2_name21","sum_canopy","sum_mb_area","SA2_pcent_canopy","SA2_canopy_rank","SA2_canopy_decile"
"Alexander Heights - Koondoola",627100,6704663,9.35319195013978,146,2
"Alkimos - Eglinton",1025178,31735469,3.23038553487267,179,1
"Applecross - Ardross",843431,5437683,15.510852692222,53,8
"Armadale - Wungong - Brookdale",3466521,25360218,13.6691293426579,78,6
"Ashendon - Lesley",134852286,249267436,54.0994396075065,1,10
"Aveley",730619,6716212,10.8784386198649,119,4
"Balcatta - Hamersley",1031383,10161961,10.1494485168758,133,3
"Baldivis - North",7409667,57587453,12.8668079833293,92,5
"Baldivis - South",6672120,29843282,22.357192483052,19,9
"Balga - Mirrabooka",1002629,9631609,10.4097768088385,128,3
"Ballajura",2917868,22027325,13.246583504806,87,6
"Banjup",5342380,29337334,18.2101754712954,33,9
"Bassendean - Eden Hill - Ashfield",1375366,10392969,13.2336197673639,88,6
"Bateman",249997,2005200,12.4674346698584,96,5
"Bayswater - Embleton - Bedford",1316265,13688326,9.61596765009834,143,3
"Beckenham - Kenwick - Langford",2112327,18971245,11.1343615034227,113,4
"Beechboro",7440897,47142719,15.7837671603116,51,8
"Beeliar - Wattleup",4978801,28469385,17.4882632694735,41,8
"Belmont - Ascot - Redcliffe",1257519,10767680,11.6786438675741,106,5
"Bentley - Wilson - St James",1556896,10961300,14.203570744346,69,7
"Bibra Industrial",534954,6394253,8.36616880814694,154,2
"Bibra Lake",1127635,4138904,27.2447730123724,11,10
"Bicton - Palmyra",998656,6303851,15.8419988035885,49,8
"Booragoon",912490,6702335,13.6145089733653,80,6
"Brabham - Henley Brook",2554191,16839675,15.1676977138811,58,7
"Bull Creek",597733,4105336,14.5599044755411,66,7
"Bullsbrook",25235207,236001401,10.6928208447373,122,4
"Butler - Merriwa - Ridgewood",352897,10055232,3.50958585540344,178,1
"Byford",5882848,29184472,20.1574590761827,27,9
"Calista",4902015,15088667,32.48805875297,9,10
"Camillo - Champion Lakes",1376795,7802036,17.646611730579,37,8
"Canning Vale - East",858388,9957713,8.62033280131693,152,2
"Canning Vale - West",1108000,8714199,12.7148806218449,94,5
"Canning Vale Commercial",265801,6569903,4.04573705273883,173,1
"Cannington - Queens Park",835821,9524079,8.77587218669648,150,2
"Carabooda - Pinjar",26619402,284847647,9.34513670039198,147,2
"Carramar",3064119,29883482,10.2535541206343,130,3
"Casuarina - Wandi",9207874,43218899,21.30520261518,25,9
"City Beach",1994463,10087438,19.7717497743233,28,9
"Claremont (WA)",851251,3884158,21.91597252223,22,9
"Clarkson",828024,11726704,7.06101219916525,162,2
"Cloverdale",416449,3850708,10.814868330707,121,4
"Como",1103824,6405296,17.2329897010224,42,8
"Coogee",1275100,10435614,12.2187348056377,98,5
"Coolbellup",727777,4548879,15.9990406427606,47,8
"Cooloongup",531546,5094987,10.4327253435583,127,3
"Cottesloe",569732,3776314,15.086986940175,59,7
"Craigie - Beldon",1048833,6954174,15.0820643832035,60,7
"Currambine - Kinross",369804,5827013,6.34637334771692,165,1
"Dianella - North",739615,6397516,11.5609714770545,108,5
"Dianella - South",564032,5027426,11.2191009872647,111,4
"Duncraig",984663,7598940,12.9578993912309,90,6
"East Fremantle",477760,3115804,15.3334420265203,54,8
"East Perth",431693,3158889,13.6659756009154,79,6
"East Victoria Park - Carlisle",692091,6274140,11.030850443248,116,4
"Ellenbrook",1242516,14169745,8.76879576873119,151,2
"Falcon - Wannanup",1143085,9507606,12.0228478125829,102,5
"Floreat",1082381,4424074,24.4657074000118,13,10
"Forrestfield - Wattle Grove",3965976,26982056,14.6985685597865,63,7
"Fremantle",1067352,10079351,10.5894913273682,124,4
"Fremantle - South",1018941,7249564,14.0552038715708,73,6
"Gidgegannup",70187553,304831379,23.025041985589,16,10
"Girrawheen",475371,4027749,11.8023988088632,104,5
"Glen Forrest - Darlington",20884673,59874340,34.8808404401618,7,10
"Gosnells",2749407,17181541,16.0020978327846,46,8
"Greenfields",1804221,11045467,16.3344926927942,45,8
"Greenwood - Warwick",1161149,8596435,13.5073318183642,83,6
"Halls Head - Erskine",1384571,14198738,9.75136663554184,140,3
"Hamilton Hill",817810,6859074,11.9230380077544,103,5
"Harrisdale",815531,5823275,14.0046794973619,76,6
"Hazelmere - Guildford",2952653,16840309,17.5332471631013,39,8
"Heathridge - Connolly",926570,6864722,13.4975604256079,84,6
"Helena Valley - Koongamia",1942205,8096913,23.9869812112345,14,10
"Henderson",1215272,8938059,13.5965985456126,82,6
"Herdsman",356969,3093052,11.5409957543552,109,4
"High Wycombe",1117237,8700792,12.8406356570758,93,5
"Hillarys",602570,5663673,10.6392088667548,123,4
"Hocking - Pearsall",3428137,24121589,14.2119037017006,68,7
"Hope Valley - Postans",3414825,24769006,13.7866856667563,77,6
"Huntingdale - Southern River",2001849,16495380,12.1358162103571,101,5
"Iluka - Burns Beach",276527,5949791,4.6476758595386,171,1
"Innaloo - Doubleview",611308,5603332,10.909723000529,117,4
"Jandakot",1338043,16790288,7.96914859352025,156,2
"Joondalup - Edgewater",2006189,16502899,12.1565853369157,100,5
"Kalamunda - Maida Vale - Gooseberry Hill",7943282,25839979,30.7402804003827,10,10
"Karnup",11810665,52129648,22.656329848995,18,10
"Karrinyup - Gwelup - Carine",2875546,14156269,20.3128804630655,26,9
"Kelmscott",3791509,14960989,25.3426361051398,12,10
"Kewdale",321023,2891456,11.1024687908099,115,4
"Kewdale Commercial",179168,4844645,3.69826891340852,175,1
"Kings Park (WA)",1781772,4185479,42.5703246868519,5,10
"Kingsley",1230343,8061750,15.2614878903464,57,7
"Kwinana Industrial",1019802,16583605,6.1494590591129,167,1
"Landsdale",863647,8903695,9.6998717947998,141,3
"Leeming",957077,6764159,14.1492386562764,70,7
"Lesmurdie - Bickley - Carmel",94999086,253240016,37.513457588788,6,10
"Lockridge - Kiara",1706474,14516860,11.7551178422882,105,5
"Maddington - Orange Grove - Martin",10952157,47958166,22.8368970573228,17,10
"Madeley - Darch",630200,13129810,4.79976481000106,170,1
"Malaga",251307,6457781,3.89153797566068,174,1
"Mandurah",882575,8369483,10.5451555370863,125,4
"Mandurah - East",7235028,39727453,18.2116583210104,32,9
"Mandurah - North",5974286,31432413,19.0067685862998,31,9
